PM2.5,PM10,NO,NO2,NOx,CO,SO2,AQI
0.117743,0.118118,0.056904,0.119492,0.137994,0.126557,0.342688,0.273576
0.114269,0.118118,0.064916,0.108586,0.134743,0.14436,0.390972,0.282908
0.137607,0.118118,0.1167,0.113252,0.183393,0.259428,0.339231,0.395383
0.151071,0.118118,0.069831,0.085975,0.122233,0.155281,0.262935,0.355599
0.173725,0.118118,0.060948,0.095168,0.12341,0.135544,0.331751,0.280943
0.175599,0.118118,0.045845,0.11952,0.128456,0.101985,0.411143,0.296169
0.155103,0.118118,0.016331,0.098868,0.086008,0.036403,0.241836,0.208251
0.166546,0.118118,0.014949,0.076974,0.06982,0.033331,0.734331,0.151277
0.250245,0.118118,0.012722,0.06016,0.054252,0.028383,0.496621,0.176326
0.140355,0.118118,0.009881,0.049641,0.04495,0.022069,0.295744,0.160118
0.140281,0.118118,0.016639,0.055191,0.055984,0.037085,0.26603,0.160118
0.101058,0.118118,0.009676,0.055384,0.050168,0.021614,0.32195,0.15275
0.081741,0.118118,0.013362,0.052071,0.049312,0.029805,0.518287,0.102652
0.055824,0.118118,0.010623,0.038128,0.037316,0.023719,0.208151,0.076621
0.066393,0.118118,0.01436,0.042766,0.03954,0.032023,0.19706,0.10167
0.164977,0.118118,0.009983,0.04608,0.044843,0.022297,0.135723,0.075375
0.127291,0.118118,0.010777,0.057565,0.053504,0.02406,0.183286,0.142436
0.145892,0.118118,0.014412,0.070293,0.065586,0.032137,0.450967,0.147839
0.151924,0.118118,0.040444,0.084705,0.098582,0.089984,0.34243,0.179273
0.089468,0.118118,0.008396,0.073689,0.058615,0.01877,0.305133,0.197446
0.14165,0.118118,0.015051,0.072501,0.061373,0.033559,0.178076,0.075375
0.064235,0.118118,0.008959,0.038708,0.037615,0.020022,0.04163,0.055501
0.041455,0.118118,0.013464,0.053976,0.052734,0.030032,0.09105,0.079568
0.117711,0.118118,0.009906,0.06212,0.053825,0.022126,0.081661,0.104617
0.061403,0.118118,0.014642,0.059912,0.059213,0.032649,0.133557,0.113458
0.100353,0.118118,0.04605,0.072391,0.094819,0.10244,0.070054,0.14833
0.148703,0.118118,0.07879,0.101795,0.142271,0.175189,0.211762,0.326621
0.112259,0.118118,0.050914,0.128023,0.117123,0.113247,0.162755,0.373772
0.115206,0.118118,0.010956,0.055936,0.048885,0.024458,0.24034,0.133595
0.132639,0.118118,0.017842,0.055687,0.057267,0.039759,0.410369,0.151277
0.07493,0.118118,0.042774,0.058835,0.080363,0.09516,0.258344,0.16945
0.102984,0.118118,0.016075,0.049558,0.050146,0.035834,0.071395,0.168959
0.066677,0.118118,0.008754,0.036637,0.033018,0.019567,0.127831,0.086444
0.079215,0.118118,0.008524,0.039426,0.038428,0.019055,0.392262,0.075375
0.08512,0.118118,0.014539,0.05138,0.051814,0.032421,0.337529,0.098723
0.10869,0.118118,0.011596,0.054694,0.05066,0.02588,0.440598,0.117878
